id,model,kernel,frequency,flash,ram,encapsulation,io,voltage,timer_16,timer_32,usb,jpeg,gpu,temperature
1,STM32F030F4P6,Cortex-M0,48,16,4,TSSOP20,15,2.4-3.6,5,0,0,N/A,N/A,85
2,STM32F030K6T6,Cortex-M0,48,32,4,LQFP32,26,2.4-3.6,5,0,0,N/A,N/A,85
3,STM32F030C6T6,Cortex-M0,48,32,4,LQFP48,39,2.4-3.6,5,0,0,N/A,N/A,85
4,STM32F030C8T6,Cortex-M0,48,64,8,LQFP48,39,2.4-3.6,7,0,0,N/A,N/A,85
5,STM32F030CCT6,Cortex-M0,48,256,32,LQFP48,37,2.4-3.6,8,0,0,N/A,N/A,85
6,STM32F030R8T6,Cortex-M0,48,64,8,LQFP64,55,2.4-3.6,7,0,0,N/A,N/A,85
7,STM32F030RCT6,Cortex-M0,48,256,32,LQFP64,51,2.4-3.6,8,0,0,N/A,N/A,85
8,STM32F070F6P6,Cortex-M0,48,32,6,TSSOP20,15,2.4-3.6,5,0,1,N/A,N/A,85
9,STM32F070C6T6,Cortex-M0,48,32,6,LQFP48,37,2.4-3.6,5,0,1,N/A,N/A,85
10,STM32F070CBT6,Cortex-M0,48,128,16,LQFP48,37,2.4-3.6,8,0,1,N/A,N/A,85
11,STM32F070RBT6,Cortex-M0,48,128,16,LQFP64,51,2.4-3.6,8,0,1,N/A,N/A,85
12,STM32F031F4P6,Cortex-M0,48,16,4,TSSOP20,15,2-3.6,5,1,0,N/A,N/A,85
13,STM32F031F6P6,Cortex-M0,48,32,4,TSSOP20,15,2-3.6,5,1,0,N/A,N/A,85
14,STM32F031E6Y6,Cortex-M0,48,32,4,WLCSP25,20,2-3.6,5,1,0,N/A,N/A,85
15,STM32F031G4U6,Cortex-M0,48,16,4,UFQFPN28,23,2-3.6,5,1,0,N/A,N/A,85
16,STM32F031G6U6,Cortex-M0,48,32,4,UFQFPN28,23,2-3.6,5,1,0,N/A,N/A,85
17,STM32F031K4U6,Cortex-M0,48,16,4,UFQFPN32,27,2-3.6,5,1,0,N/A,N/A,85
18,STM32F031K6U6,Cortex-M0,48,32,4,UFQFPN32,27,2-3.6,5,1,0,N/A,N/A,85
19,STM32F031K6T6,Cortex-M0,48,32,4,LQFP32,25,2-3.6,5,1,0,N/A,N/A,85
20,STM32F031C4T6,Cortex-M0,48,16,4,LQFP48,39,2-3.6,5,1,0,N/A,N/A,85
